[1.37, 20, 36, 44, 60, 50, 70, 64, 70, 66, 66, 30, 39, 20, 71, 114, 68, 22, 6, 0, 0]
[1.81, 20, 30, 48, 56, 60, 66, 68, 76, 76, 54, 32, 30, 62, 104, 42, 10, 0, 0, 0, 0]
[1.37, 20, 36, 44, 50, 60, 70, 56, 72, 76, 60, 36, 38, 24, 88, 104, 62, 22, 6, 0, 0]
[1.81, 20, 26, 40, 52, 54, 66, 68, 72, 72, 68, 32, 30, 57, 104, 38, 10, 0, 0, 0, 0]
[1.32, 20, 36, 44, 60, 60, 60, 64, 74, 76, 66, 30, 39, 24, 71, 114, 65, 26, 10, 0, 0]
[1.85, 20, 26, 44, 48, 56, 64, 70, 74, 70, 68, 32, 29, 62, 99, 36, 8, 0, 0, 0, 0]
[1.28, 20, 36, 44, 50, 60, 70, 56, 72, 76, 66, 30, 39, 18, 64, 114, 84, 25, 16, 0, 0]
[1.88, 20, 28, 44, 60, 58, 66, 66, 74, 76, 56, 32, 28, 72, 100, 34, 6, 0, 0, 0, 0]
[1.24, 20, 36, 44, 60, 60, 72, 66, 74, 76, 66, 30, 41, 20, 60, 111, 80, 29, 20, 0, 0]
[1.92, 20, 28, 48, 52, 56, 64, 68, 72, 72, 56, 32, 28, 76, 96, 28, 4, 0, 0, 0, 0]
